"Year","Trawl_wdis","Non-Trawl_wdis","Ocean","Shore","Total Catch"
1960,"73.43","1.55","0.00","1.54","76.53"
1961,"60.25","1.81","0.00","1.80","63.86"
1962,"58.02","1.44","0.00","1.43","60.89"
1963,"45.43","1.52","0.00","1.51","48.46"
1964,"28.08","0.68","0.00","0.68","29.44"
1965,"48.29","2.94","0.00","2.92","54.15"
1966,"43.47","2.06","0.00","2.04","47.57"
1967,"26.46","4.39","0.00","4.36","35.21"
1968,"23.67","4.14","0.00","4.11","31.92"
1969,"49.51","8.27","0.00","8.20","65.98"
1970,"29.71","3.89","0.00","3.86","37.46"
1971,"32.32","8.19","0.00","8.12","48.63"
1972,"43.24","10.61","0.00","10.53","64.39"
1973,"38.43","11.32","49.59","11.23","110.57"
1974,"24.17","13.94","98.34","13.83","150.28"
1975,"26.52","7.49","147.10","7.43","188.54"
1976,"5.37","9.62","195.86","9.54","220.38"
1977,"7.18","11.65","244.61","11.56","275.00"
1978,"10.11","16.35","293.37","16.22","336.05"
1979,"27.87","39.97","341.29","39.65","448.78"
1980,"14.25","25.15","237.96","28.09","305.45"
1981,"21.77","22.26","419.97","12.57","476.56"
1982,"39.27","45.44","556.80","9.85","651.36"
1983,"2.98","95.32","386.14","14.59","499.03"
1984,"16.54","63.96","444.91","7.97","533.38"
1985,"14.14","61.03","258.11","8.68","341.97"
1986,"7.57","45.62","242.37","13.15","308.71"
1987,"0.51","116.43","214.23","26.62","357.80"
1988,"2.03","90.03","239.73","62.48","394.27"
1989,"1.60","121.95","322.84","11.37","457.76"
1990,"0.40","171.42","316.20","13.84","501.85"
1991,"0.04","179.63","145.93","16.41","342.01"
1992,"10.44","343.27","267.26","19.08","640.06"
1993,"4.92","118.90","397.50","21.86","543.18"
1994,"39.55","149.79","279.91","16.30","485.55"
1995,"2.08","94.78","336.26","12.36","445.48"
1996,"0.04","144.76","362.78","11.73","519.31"
1997,"1.89","172.99","362.21","13.28","550.38"
1998,"11.14","132.21","318.08","5.67","467.09"
1999,"0.32","125.70","155.04","6.54","287.60"
2000,"0.64","107.14","212.69","15.75","336.23"
2001,"0.18","147.85","290.72","18.67","457.42"
2002,"1.23","126.32","284.61","27.34","439.51"
2003,"0.36","116.62","321.18","19.53","457.69"
2004,"1.47","117.43","324.27","7.00","450.17"
2005,"0.52","100.29","303.88","6.81","411.49"
2006,"2.29","93.67","259.11","13.28","368.35"
2007,"0.32","101.85","247.43","13.28","362.88"
2008,"0.19","99.19","227.67","13.28","340.32"
2009,"0.22","134.48","277.62","13.28","425.59"
2010,"0.34","101.12","292.14","13.28","406.89"
2011,"0.76","97.54","198.72","13.28","310.30"
2012,"0.76","96.72","210.14","13.28","320.89"
2013,"0.08","107.47","321.31","13.28","442.14"
2014,"0.71","122.92","342.55","13.28","479.45"
2015,"0.51","122.12","458.61","13.28","594.52"
2016,"0.64","105.95","404.65","13.28","524.53"
2017,"0.26","125.21","402.67","13.28","541.43"
2018,"0.03","122.98","278.78","13.28","415.07"
2019,"0.01","119.19","305.07","13.28","437.55"
2020,"0.04","101.79","320.45","13.28","435.56"
2021,"0.00","101.53","320.73","13.28","435.54"
2022,"0.00","118.11","394.61","13.28","526.00"
