"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"160",NA,"Q_extraSD_Ocean(3)",0.210671,0.207164,0.22035,0.130985,NA,0.221074,0.216145,0.212436,0.242568,0.243518,0.205802,0.203724,0.230557,0.215446,0.199616
"161",NA,"LnQ_base_MPA(5)",-7.22195,-7.2612,-7.32499,-7.06889,-7.36527,-7.29004,NA,-7.30284,-7.49188,-7.49862,-7.13734,-7.3068,-6.86627,-7.55894,-7.15358
"162",NA,"Q_extraSD_MPA(5)",0.147167,0.146467,0.148949,0.0939018,0.157497,0.151704,NA,0.149224,0.171451,0.176026,0.144882,0.147996,0.164805,0.170827,0.148072
"163",NA,"LnQ_base_Acoustic_Visual(6)",0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"164",NA,"Q_extraSD_Acoustic_Visual(6)",0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0
"165",NA,"LnQ_base_Tag(7)",-1.00038,NA,NA,-0.993242,-1.10466,-1.05468,NA,-1.07069,-1.20894,-1.22411,-0.926907,-1.08263,-0.732319,-1.40974,-0.883761
"166",NA,"Q_extraSD_Tag(7)",0.096241,NA,NA,0.0722391,0.100593,0.0948706,NA,0.0928304,0.0976019,0.0939257,0.0958225,0.0891651,0.0807165,0.0733686,0.0988256
"167",NA,"LnQ_base_MRFSS(8)",-7.68078,NA,NA,-7.69579,-7.75845,NA,NA,-7.74853,-7.86075,-7.87835,-7.63531,-7.79552,-7.45725,-7.92762,-7.74783
"168",NA,"Q_extraSD_MRFSS(8)",0.319467,NA,NA,0.245934,0.325056,NA,NA,0.309962,0.301425,0.314642,0.328026,0.29681,0.434801,0.289296,0.28689
"169",NA,"Size_DblN_peak_Trawl_wdis(1)",53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314
"170",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372
"171",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"172",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"173",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"174",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"175",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162
"176",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"177",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"178",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632
"179",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"180",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106
"181",NA,"Size_DblN_peak_Ocean(3)",42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317
"182",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"183",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"184",NA,"Size_DblN_descend_se_Ocean(3)",2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208
"185",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"186",NA,"Size_DblN_end_logit_Ocean(3)",-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125
"187",NA,"Size_DblN_peak_Shore(4)",22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713
"188",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"189",NA,"Size_DblN_ascend_se_Shore(4)",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"190",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824
"191",NA,"Size_DblN_start_logit_Shore(4)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"192",NA,"Size_DblN_end_logit_Shore(4)",4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183
"193",NA,"Size_DblN_peak_MPA(5)",43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,NA,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639
"194",NA,"Size_DblN_top_logit_MPA(5)",-12,-12,-12,-12,-12,-12,NA,-12,-12,-12,-12,-12,-12,-12,-12
"195",NA,"Size_DblN_ascend_se_MPA(5)",4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4
"196",NA,"Size_DblN_descend_se_MPA(5)",0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,NA,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662
"197",NA,"Size_DblN_start_logit_MPA(5)",-15,-15,-15,-15,-15,-15,NA,-15,-15,-15,-15,-15,-15,-15,-15
"198",NA,"Size_DblN_end_logit_MPA(5)",-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,NA,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999
"199",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,NA,25,25,25,25,NA,25,25,25,25,25,25,25,25
"200",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,NA,3.26947,3.26947,3.26947,3.26947,NA,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947
"201",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,NA,3.58539,3.58539,3.58539,3.58539,NA,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"202",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,NA,-9.21034,-9.21034,-9.21034,-9.21034,NA,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"203",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,NA,-15,-15,-15,-15,NA,-15,-15,-15,-15,-15,-15,-15,-15
"204",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,NA,11.513,11.513,11.513,11.513,NA,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"205",NA,"Size_inflection_Tag(7)",32,NA,NA,32,32,32,NA,32,32,32,32,32,32,32,32
"206",NA,"Size_95%width_Tag(7)",1e-06,NA,NA,1e-06,1e-06,1e-06,NA,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"207",NA,"SizeSel_P1_MRFSS(8)",-1,NA,NA,-1,-1,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1
"208",NA,"SizeSel_P2_MRFSS(8)",-1,NA,NA,-1,-1,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1
"209",NA,"LnQ_base_Tag(6)",NA,-1.03937,NA,NA,NA,NA,-1.07631,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,"Q_extraSD_Tag(6)",NA,0.0913977,NA,NA,NA,NA,0.092667,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,"LnQ_base_MRFSS(7)",NA,-7.72522,-7.75222,NA,NA,NA,-7.75274,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,"Q_extraSD_MRFSS(7)",NA,0.308694,0.312913,NA,NA,NA,0.31088,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,"Size_inflection_Tag(6)",NA,32,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,"Size_95%width_Tag(6)",NA,1e-06,NA,NA,NA,NA,1e-06,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,"SizeSel_P1_MRFSS(7)",NA,-1,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,"SizeSel_P2_MRFSS(7)",NA,-1,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,"LnQ_base_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,"Q_extraSD_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,"Size_DblN_peak_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,"Size_DblN_top_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,3.26947,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,"Size_DblN_ascend_se_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,3.58539,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"Size_DblN_descend_se_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,-9.21034,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"Size_DblN_start_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"Size_DblN_end_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,11.513,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"LnQ_base_SMURF(9)",NA,NA,NA,NA,NA,NA,NA,-9.59643,NA,NA,NA,NA,NA,NA,NA
"226",NA,"Q_extraSD_SMURF(9)",NA,NA,NA,NA,NA,NA,NA,2.40232e-07,NA,NA,NA,NA,NA,NA,NA
"227",NA,"ln(DM_theta)_Len_P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000465693,NA,NA,NA,NA,NA
"228",NA,"ln(DM_theta)_Len_P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000453236,NA,NA,NA,NA,NA
"229",NA,"ln(DM_theta)_Len_P3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000515335,NA,NA,NA,NA,NA
"230",NA,"ln(DM_theta)_Len_P4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000508072,NA,NA,NA,NA,NA
"231",NA,"ln(DM_theta)_Len_P5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000498882,NA,NA,NA,NA,NA
"232",NA,"ln(DM_theta)_Age_P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06323,NA,NA,NA,NA,NA
"233",NA,"ln(DM_theta)_Age_P7",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90619,NA,NA,NA,NA,NA
"234",NA,"ln(DM_theta)_Age_P8",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63706,NA,NA,NA,NA,NA
"235","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,"SB0",1490.34,1535.6,1576.43,1437.95,1598.28,1557.81,1574.42,1567.97,1941.56,1987.28,1408.39,1537.81,1342.37,1770.23,1570.6
"237",NA,"SSB_2023",674.102,714.718,779.91,482.307,834.138,751.786,776.467,758.835,1171.1,1197.62,588.286,759.116,473.089,1125.75,614.619
"238",NA,"Bratio_2023",0.452314,0.465433,0.494731,0.335414,0.521898,0.482592,0.493177,0.483959,0.603178,0.60264,0.4177,0.493636,0.352427,0.635934,0.391327
"239",NA,"MSY_SPR",422.429,429.286,439.816,399.413,446.264,436.162,439.288,437.514,468.734,478.82,412.082,428.454,382.36,568.208,430.352
"240",NA,"F_SPR",0.0654958,0.0654335,0.0654518,0.065559,0.065429,0.0653928,0.0654522,0.0654515,0.065029,0.0648991,0.0656063,0.0654829,0.0640036,0.0663234,0.0662438
