"","Label","Type","0. Reference Model","01- AV q = 1, low CV","02- Est AV q, low CV","03- AV q = 1, CV0.45","04- Est AV q, CV0.45","05- Tag q 2015","06- Tag q 2015 xvar","07- No AV","08- No tag","09- No non-trawl","10- No ORBS","11- No MRFSS","12- No MPA","13- Add SMURF","14- No data wts","15- Dirichlet wts","16- McAIll wts","17- 2015 catches"
"13",NA,"MPA",-4.65984,-3.89782,-5.96808,-5.81428,-5.96808,-5.92573,-5.85762,-5.96808,-4.66412,-3.94901,-4.48274,-4.56581,NA,-4.66313,-5.3305,-5.34127,-4.91697,-4.69206
"14",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.80596,NA,NA,NA,NA
"15","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"19",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"20",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",NA,"Acoustic_Visual",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"22",NA,"Tag",1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"23",NA,"MRFSS",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
"24",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1
"25",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"26","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"ALL",492.509,514.608,471.472,472.283,471.472,520.784,472.767,471.472,491.689,484.146,489.841,490.738,476.26,492.441,1476.22,5426.66,381.246,496.28
"28",NA,"Trawl_wdis",71.6334,70.4426,73.2044,73.1853,73.2044,68.5132,73.0768,73.2044,71.7121,73.0696,72.126,72.0331,71.5837,71.6383,170.246,402.811,124.419,71.8575
"29",NA,"Non.Trawl_wdis",285.563,296.857,271.955,272.37,271.955,306.105,273.015,271.955,285.048,277.346,283.025,283.757,286.019,285.519,796.045,2740.57,71.6866,285.441
"30",NA,"Ocean",91.7197,98.4588,87.1289,87.3185,87.1289,102.442,87.1148,87.1289,91.347,90.9705,91.3155,91.4102,92.0326,91.6712,367.418,1757.27,54.1329,93.3099
"31",NA,"Shore",26.6222,31.2452,23.0059,23.2052,23.0059,26.0075,23.3053,23.0059,26.6257,26.308,26.5531,26.6511,26.625,26.6358,102.357,290.403,92.8631,28.6717
"32",NA,"Acoustic_Visual",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"33",NA,"Tag",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"34",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"35",NA,"MPA",16.9707,17.605,16.1778,16.204,16.1778,17.7163,16.2548,16.1778,16.9564,16.4514,16.821,16.8864,NA,16.9772,40.1509,235.608,38.1449,16.9999
"36",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"37","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",NA,"Shore",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",NA,"Acoustic_Visual",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"44",NA,"Tag",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"45",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"46",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1
"47",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"48","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"ALL",3253.3,3254.77,3267.17,3266.33,3267.17,3250.07,3265.03,3267.17,3253.7,3260.39,3254.94,3255.37,3252.19,3253.49,13028.5,27305.8,1944.75,3260.24
"50",NA,"Trawl_wdis",668.511,674.828,663.502,663.75,663.502,670.096,663.89,663.502,668.422,667.966,668.389,668.866,668.494,668.537,977.051,1452.06,563.149,671.826
"51",NA,"Non.Trawl_wdis",1329.66,1329.59,1334.86,1334.51,1334.86,1332.52,1333.91,1334.86,1329.68,1331.53,1330.11,1330.34,1328.96,1329.7,5239.31,10754.5,906.628,1331.32
"52",NA,"Ocean",1255.12,1250.35,1268.81,1268.07,1268.81,1247.46,1267.23,1268.81,1255.6,1260.9,1256.45,1256.16,1254.74,1255.25,6812.16,15099.3,474.972,1257.09
"53",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",NA,"Acoustic_Visual",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"55",NA,"Tag",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"56",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"57",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"58",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"59","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",NA,"Acoustic_Visual",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"66",NA,"Tag",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"67",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"68",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"69",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"70","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",50.8464,51.3571,50.2949,50.3093,50.2949,51.3848,50.3506,50.2949,50.8387,50.5085,50.7445,50.7752,50.8587,50.8463,53.6965,53.7104,50.4654,50.8767
"74",NA,"VonBert_K_Fem_GP_1",0.181808,0.179551,0.184197,0.184136,0.184197,0.179988,0.183967,0.184197,0.181823,0.183187,0.182218,0.182084,0.181708,0.181807,0.164029,0.163965,0.186413,0.1817
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"83",NA,"NatM_uniform_Mal_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"84",NA,"L_at_Amin_Mal_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",NA,"L_at_Amax_Mal_GP_1",44.8755,45.3166,44.4828,44.4888,44.4828,45.3835,44.5188,44.4828,44.8714,44.5718,44.7831,44.8033,44.8984,44.8753,45.9563,45.9728,45.7525,44.9047
"86",NA,"VonBert_K_Mal_GP_1",0.223622,0.220608,0.225959,0.225945,0.225959,0.220946,0.22577,0.225959,0.223605,0.225587,0.224204,0.224099,0.223325,0.223621,0.213223,0.21308,0.215236,0.223477
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"91",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"93",NA,"SR_LN(R0)",8.24482,8.49655,8.07687,8.08608,8.07687,8.25114,8.0898,8.07687,8.24397,8.22608,8.23855,8.24568,8.24425,8.24549,8.23862,8.24083,8.24725,8.22189
"94",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"95",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"96",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",NA,"Main_RecrDev_1980",-1.08,-1.34886,-0.832649,-0.848619,-0.832649,-0.963625,-0.855556,-0.83265,-1.08202,-1.09053,-1.08694,-1.02327,-1.07967,-1.07985,-1.10769,-1.09755,-1.10639,-1.19359
"99",NA,"Main_RecrDev_1981",-0.862507,-1.08532,-0.657843,-0.671358,-0.657844,-0.754783,-0.676596,-0.657844,-0.864288,-0.875419,-0.869543,-0.836508,-0.862081,-0.862722,-0.636634,-0.633796,-0.759877,-0.956055
"100",NA,"Main_RecrDev_1982",-0.317025,-0.528556,-0.119576,-0.133327,-0.119576,-0.198045,-0.137129,-0.119576,-0.318516,-0.333653,-0.324705,-0.333641,-0.316105,-0.318246,0.0272759,0.0200642,0.218697,-0.403555
"101",NA,"Main_RecrDev_1983",-0.441283,-0.645631,-0.259506,-0.272465,-0.259506,-0.307888,-0.275274,-0.259506,-0.443226,-0.465059,-0.451215,-0.462093,-0.441069,-0.442246,-0.219362,-0.224408,0.158156,-0.519564
"102",NA,"Main_RecrDev_1984",-0.276819,-0.477202,-0.100384,-0.113129,-0.100384,-0.141647,-0.115463,-0.100384,-0.278667,-0.3014,-0.286856,-0.305989,-0.27649,-0.277996,-0.0142987,-0.0139643,-0.389827,-0.341596
"103",NA,"Main_RecrDev_1985",-0.14697,-0.339946,0.0206269,0.00837976,0.0206269,-0.0128455,0.00643509,0.0206269,-0.148732,-0.17243,-0.157185,-0.178182,-0.146458,-0.148197,0.0655041,0.0653493,-0.288221,-0.195467
"104",NA,"Main_RecrDev_1986",-0.333052,-0.51143,-0.18168,-0.193015,-0.18168,-0.198406,-0.194364,-0.18168,-0.334887,-0.361533,-0.344192,-0.360241,-0.33248,-0.33415,-0.159715,-0.159799,-0.468486,-0.363522
"105",NA,"Main_RecrDev_1987",-0.372012,-0.526476,-0.244535,-0.254739,-0.244535,-0.230783,-0.254979,-0.244535,-0.37405,-0.406977,-0.385141,-0.397108,-0.371455,-0.373068,-0.215076,-0.215453,-0.461824,-0.381117
"106",NA,"Main_RecrDev_1988",-0.296899,-0.419991,-0.198214,-0.207117,-0.198214,-0.145348,-0.206034,-0.198214,-0.299291,-0.340111,-0.312641,-0.319863,-0.296592,-0.297936,-0.25288,-0.253293,-0.148243,-0.283406
"107",NA,"Main_RecrDev_1989",-0.0140731,-0.105124,0.057041,0.0493504,0.057041,0.148764,0.051655,0.057041,-0.016892,-0.0653318,-0.0325039,-0.0358313,-0.0141326,-0.0151245,0.0309353,0.0305409,0.138287,0.0193753
"108",NA,"Main_RecrDev_1990",-0.0590344,-0.12289,-0.0115668,-0.018214,-0.0115668,0.114365,-0.0149364,-0.0115668,-0.062329,-0.117616,-0.0800243,-0.0786687,-0.0595741,-0.060062,0.0366396,0.0363063,-0.0322265,-0.0143788
"109",NA,"Main_RecrDev_1991",0.0777129,0.0383896,0.104412,0.0987177,0.104412,0.258748,0.10271,0.104412,0.0740004,0.0135858,0.0546871,0.0591158,0.0767241,0.0766781,0.151286,0.150806,0.10029,0.125403
"110",NA,"Main_RecrDev_1992",0.00782925,-0.00824716,0.0153496,0.0106578,0.0153496,0.19133,0.0150582,0.0153496,0.00378263,-0.0592468,-0.0164277,-0.00906785,0.00642536,0.00681335,0.057923,0.0574591,0.0565573,0.0577453
"111",NA,"Main_RecrDev_1993",0.0231986,0.0164604,0.0254045,0.02126,0.0254045,0.195078,0.0252138,0.0254045,0.0191741,-0.0394526,0.000182015,0.00924892,0.0215762,0.0222018,0.0475279,0.04689,0.0560355,0.0710851
"112",NA,"Main_RecrDev_1994",0.344175,0.340159,0.346706,0.342976,0.346706,0.494744,0.346122,0.346706,0.340456,0.289881,0.324004,0.333984,0.342599,0.343206,0.360885,0.36005,0.352111,0.377366
"113",NA,"Main_RecrDev_1995",0.303778,0.299786,0.30818,0.304841,0.30818,0.427909,0.307152,0.30818,0.300551,0.258956,0.287519,0.29805,0.302461,0.302854,0.329914,0.32897,0.285297,0.321139
"114",NA,"Main_RecrDev_1996",0.0243693,0.0274374,0.0225051,0.0198596,0.0225051,0.126727,0.0219604,0.0225051,0.0215537,-0.0152322,0.0121152,0.0223156,0.0232105,0.0234966,0.0760924,0.0751548,-0.0211827,0.0334875
"115",NA,"Main_RecrDev_1997",-0.0234348,-0.00726047,-0.0376963,-0.0393523,-0.0376963,0.0601377,-0.0369109,-0.0376963,-0.0258757,-0.0605719,-0.0309299,-0.0238368,-0.0246507,-0.0242914,0.0449851,0.0441239,-0.0817643,-0.0159941
"116",NA,"Main_RecrDev_1998",-0.299024,-0.277253,-0.319326,-0.320223,-0.319326,-0.234881,-0.317485,-0.319326,-0.301029,-0.332979,-0.302314,-0.294406,-0.300545,-0.29972,-0.262918,-0.263873,-0.394542,-0.297462
"117",NA,"Main_RecrDev_1999",0.631345,0.674164,0.60016,0.600279,0.60016,0.683669,0.602417,0.60016,0.629112,0.604571,0.631971,0.631644,0.630071,0.630467,0.659633,0.658091,0.568388,0.637399
"118",NA,"Main_RecrDev_2000",0.732128,0.78829,0.689787,0.690405,0.689787,0.736038,0.697297,0.689787,0.732858,0.70574,0.733695,0.733909,0.730139,0.731378,0.786741,0.786263,0.696284,0.746442
"119",NA,"Main_RecrDev_2001",0.309175,0.40936,0.255749,0.256353,0.255749,0.175094,0.270034,0.255749,0.318871,0.298417,0.313566,0.29932,0.307516,0.308026,0.415098,0.412617,0.327188,0.342281
"120",NA,"Main_RecrDev_2002",-0.447303,-0.483714,-0.413572,-0.41655,-0.413573,-0.51628,-0.411258,-0.413572,-0.442657,-0.442891,-0.442414,-0.411199,-0.447423,-0.446744,-0.637008,-0.633051,-0.718475,-0.458943
"121",NA,"Main_RecrDev_2003",0.54202,0.660552,0.481903,0.48397,0.481904,0.378148,0.49671,0.481903,0.552444,0.541463,0.550542,0.525413,0.539349,0.540658,0.665939,0.661407,0.540503,0.580494
"122",NA,"Main_RecrDev_2004",-1.01491,-1.10986,-0.959216,-0.962303,-0.959216,-1.02908,-0.961818,-0.959216,-1.01367,-1.02551,-1.01579,-0.953418,-1.01708,-1.01324,-2.43587,-2.38784,-1.15679,-1.05746
"123",NA,"Main_RecrDev_2005",0.541606,0.644493,0.498107,0.500322,0.498108,0.37342,0.508527,0.498107,0.550397,0.558804,0.554692,0.534646,0.538226,0.540554,0.580562,0.576435,0.532277,0.568264
"124",NA,"Main_RecrDev_2006",0.0420571,0.121487,0.0153551,0.01758,0.0153551,-0.0186555,0.0167455,0.0153551,0.0443369,0.0576313,0.0524813,0.0442028,0.039145,0.0414378,0.0002391,-0.000631533,0.044226,0.0586392
"125",NA,"Main_RecrDev_2007",-0.278193,-0.216522,-0.294534,-0.292323,-0.294534,-0.279273,-0.297032,-0.294534,-0.278424,-0.264786,-0.268999,-0.268963,-0.285529,-0.278569,-0.237846,-0.239697,-0.25526,-0.268056
"126",NA,"Main_RecrDev_2008",0.980774,1.0952,0.917597,0.922939,0.917597,0.88074,0.921864,0.917597,0.982625,1.00325,0.991618,0.976744,0.982763,0.979875,0.981508,0.979325,0.989553,1.00268
"127",NA,"Main_RecrDev_2009",-0.361975,-0.271804,-0.41029,-0.405674,-0.41029,-0.459793,-0.408423,-0.41029,-0.361314,-0.331634,-0.352871,-0.350485,-0.352194,-0.362356,-0.389408,-0.390614,-0.421737,-0.353667
"128",NA,"Main_RecrDev_2010",0.497906,0.636077,0.407759,0.415641,0.407759,0.3753,0.413573,0.407759,0.499445,0.544806,0.513191,0.498171,0.501624,0.497056,0.489393,0.487082,0.491639,0.517769
"129",NA,"Main_RecrDev_2011",0.419614,0.573278,0.305484,0.315275,0.305484,0.286839,0.313121,0.305484,0.4209,0.479436,0.437131,0.42354,0.417917,0.418525,0.37993,0.377442,0.398724,0.436857
"130",NA,"Main_RecrDev_2012",0.212016,0.383619,0.0701461,0.0823907,0.0701461,0.0594443,0.0802387,0.0701461,0.213385,0.285242,0.232499,0.218211,0.20932,0.212874,0.171392,0.168694,0.172681,0.22828
"131",NA,"Main_RecrDev_2013",0.56402,0.745079,0.400798,0.415763,0.400799,0.378462,0.412638,0.400798,0.565535,0.651198,0.587632,0.572131,0.565533,0.559048,0.489305,0.486328,0.552066,0.580025
"132",NA,"Main_RecrDev_2014",0.481088,0.663291,0.297463,0.315613,0.297463,0.257054,0.310752,0.297463,0.482553,0.578831,0.50665,0.491869,0.483899,0.482185,0.384096,0.380744,0.445777,0.495714
"133",NA,"Main_RecrDev_2015",-0.243498,-0.0725984,-0.443363,-0.42234,-0.443362,-0.501495,-0.428856,-0.443363,-0.242141,-0.142557,-0.217562,-0.225923,-0.241041,-0.257018,-0.338193,-0.341873,-0.340808,-0.233788
"134",NA,"Main_RecrDev_2016",0.77026,0.958769,0.523541,0.550049,0.523541,0.432874,0.540497,0.523541,0.772017,0.889442,0.801192,0.787974,0.775968,0.770408,0.591942,0.587415,0.709012,0.782515
"135",NA,"Main_RecrDev_2017",-0.637062,-0.517201,-0.880123,-0.851876,-0.880123,-1.04206,-0.868606,-0.880123,-0.635985,-0.51634,-0.607105,-0.591794,-0.629904,-0.59621,-0.917845,-0.921711,-0.788094,-0.645333
"136",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"143",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"144",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"145",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"146",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.81714,-6.35487,-5.33323,-5.35701,-5.33323,-5.89941,-5.3809,-5.33323,-5.81492,NA,-5.78765,-5.7996,-5.81403,-5.81641,-5.90746,-5.90875,-5.86969,-5.82769
"147",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0279839,0.0617555,0.0382414,0.0330458,0.0382413,0.0734791,0.0339157,0.0382413,0.0288543,NA,0.0352917,0.0313154,0.0283117,0.0278706,0.0295355,0.0299791,0.0213189,0.0260253
"148",NA,"LnQ_base_Ocean(3)",-9.23356,-9.7432,-8.79342,-8.81468,-8.79342,-9.33449,-8.83613,-8.79342,-9.23077,-9.12359,NA,-9.2162,-9.23051,-9.23288,-9.32205,-9.3235,-9.28649,-9.24573
"149",NA,"Q_extraSD_Ocean(3)",0.283645,0.346055,0.211964,0.218876,0.211964,0.167445,0.220221,0.211964,0.286601,0.325899,NA,0.290854,0.283947,0.283476,0.233167,0.232277,0.255131,0.276183
"150",NA,"LnQ_base_MPA(5)",-7.39063,-7.98977,-6.85539,-6.88344,-6.85539,-7.43599,-6.91033,-6.85539,-7.39058,-7.28157,-7.3644,-7.37318,NA,-7.38988,-7.48364,-7.48547,-7.44486,-7.39857
